0,1,2,3,4,5
1,1,35,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
1,2,34,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1.0
1,3,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1.0
1,4,32,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
1,5,31,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
1,6,30,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
1,7,29,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
1,8,28,"{'light': 'red', 'oncoming': 'forward', 'right': None, 'left': None}",,0.0
1,9,27,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
1,10,26,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,-0.5
1,11,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
1,12,24,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
1,13,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
1,14,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1.0
1,15,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
1,16,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,12.0
2,1,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
2,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
2,3,23,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",left,-0.5
2,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
2,5,21,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
2,6,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
2,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1.0
2,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",left,-1.0
2,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
2,11,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,12,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,13,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,14,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,15,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,16,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
2,17,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,18,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,19,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,20,6,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,21,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
2,22,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,23,3,"{'light': 'red', 'oncoming': 'right', 'right': None, 'left': None}",forward,-1.0
2,24,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
2,25,1,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
2,26,0,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",left,-0.5
3,1,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
3,2,24,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
3,3,23,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
3,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
3,5,21,"{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None}",right,2.0
3,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
3,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
3,11,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
3,12,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,13,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,14,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,15,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,16,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
3,17,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
3,18,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,19,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,20,6,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
3,21,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
4,1,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
4,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
4,3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
4,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,7,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,9,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,10,16,"{'light': 'green', 'oncoming': 'left', 'right': None, 'left': None}",right,-0.5
4,11,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
4,12,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
4,13,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,14,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,15,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,16,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,17,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,18,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,19,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,20,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,21,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,12.0
5,1,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
5,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
5,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
5,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
5,11,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,12,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,13,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
6,1,35,"{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}",right,2.0
6,2,34,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
6,3,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
6,4,32,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
6,5,31,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
6,6,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
6,7,29,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
6,8,28,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
6,9,27,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
